24,30,0.141,4.849,4.976
44,16,4.3,3.192,4.01
34,17,3.149,2.47,0.294
8,8,3.407,4.488,0.13
25,38,1.061,2.491,3.342
45,16,3.311,1.246,4.579
21,28,0.781,2.972,2.969
9,3,2.195,2.893,0.084
5,15,4.647,2.696,1.236
30,17,4.214,2.297,0.67
33,38,4.055,4.766,1.908
17,35,1.976,1.286,4.991
44,5,3.876,2.227,3.733
43,8,2.958,0.126,0.735
3,19,3.868,1.111,1.246
4,26,2.255,2.176,4.992
45,42,3.557,4.982,3.489
5,33,2.701,1.32,3.181
33,7,1.11,0.422,4.77
1,39,3.387,3.29,3.808
25,6,0.48,4.986,0.894
22,45,3.652,0.859,0.312
17,23,0.216,4.107,2.466
13,13,2.229,1.273,1.683
28,12,1.722,0.381,4.969
11,40,0.399,4.956,0.639
36,41,2.943,1.632,4.827
11,1,0.955,3.536,4.294
19,24,4.366,2.788,4.867
42,1,1.923,2.302,1.989
34,44,1.904,3.196,4.186
24,30,1.521,4.843,2.144
19,11,1.857,4.838,3.204
43,11,2.443,4.273,1.517
42,24,3.844,1.707,2.203
44,12,3.434,2.8,1.048
16,32,2.2,4.534,4.945
7,17,1.436,1.138,3.098
9,40,0.703,1.56,3.036
31,16,2.332,4.22,0.237
24,28,1.124,1.466,1.512
22,12,2.25,4.336,4.188
3,32,3.957,3.466,0.011
43,27,3.365,3.489,0.241
16,4,0.185,4.994,0.484
44,20,3.826,4.141,4.057
20,15,2.61,4.203,1.613
26,34,3.723,2.374,2.445
23,18,0.333,4.513,2.788
45,10,4.817,3.944,4.526
